,created_date,complaint_type,incident_zip,status
279,2019-12-11T14:32:09.000,HEAT/HOT WATER,10473,Open
280,2019-12-11T14:31:35.000,Vending,11377,In Progress
281,2019-12-11T14:31:11.000,Elevator,10455,Open
282,2019-12-11T14:31:00.000,Sewer,11411,Open
283,2019-12-11T14:31:00.000,Noise,10023,Open
284,2019-12-11T14:30:38.000,Food Establishment,11415,In Progress
285,2019-12-11T14:30:07.000,UNSANITARY CONDITION,10026,Open
286,2019-12-11T14:30:00.000,Street Light Condition,11238,Open
287,2019-12-11T14:29:45.000,Broken Parking Meter,11215,In Progress
288,2019-12-11T14:29:39.000,Street Sign - Dangling,11211,In Progress
289,2019-12-11T14:29:20.000,HEAT/HOT WATER,11219,Open
290,2019-12-11T14:29:14.000,HEAT/HOT WATER,10013,Open
291,2019-12-11T14:29:11.000,HEAT/HOT WATER,10019,Closed
292,2019-12-11T14:28:49.000,Street Condition,11206,In Progress
293,2019-12-11T14:28:44.000,Street Condition,11369,In Progress
294,2019-12-11T14:28:20.000,Broken Parking Meter,10003,In Progress
295,2019-12-11T14:28:10.000,General Construction/Plumbing,11218,Open
296,2019-12-11T14:28:05.000,Illegal Parking,10452,In Progress
297,2019-12-11T14:28:00.000,Lead,11225,Open
298,2019-12-11T14:28:00.000,Sewer,11413,Open
299,2019-12-11T14:27:00.000,Traffic Signal Condition,10473,Closed
300,2019-12-11T14:26:56.000,HEAT/HOT WATER,10455,Open
301,2019-12-11T14:26:51.000,Taxi Complaint,10004,In Progress
302,2019-12-11T14:26:18.000,UNSANITARY CONDITION,10456,Open
303,2019-12-11T14:26:07.000,GENERAL,11221,Open
304,2019-12-11T14:26:05.000,HEAT/HOT WATER,11377,Open
305,2019-12-11T14:26:00.000,Traffic Signal Condition,11226,Open
306,2019-12-11T14:25:48.000,Broken Parking Meter,11106,In Progress
307,2019-12-11T14:25:23.000,Special Projects Inspection Team (SPIT),10037,Assigned
308,2019-12-11T14:25:23.000,General Construction/Plumbing,11221,Open
309,2019-12-11T14:25:23.000,Building/Use,11356,Open
310,2019-12-11T14:25:22.000,Homeless Person Assistance,11201,Closed
311,2019-12-11T14:25:00.000,Sewer,10004,Open
312,2019-12-11T14:25:00.000,Noise,11249,Open
313,2019-12-11T14:25:00.000,Air Quality,10032,Open
314,2019-12-11T14:24:53.000,Blocked Driveway,11221,In Progress
315,2019-12-11T14:24:26.000,Street Condition,10452,In Progress
316,2019-12-11T14:24:14.000,Green Taxi Complaint,11201,In Progress
317,2019-12-11T14:24:06.000,Sidewalk Condition,11367,In Progress
318,2019-12-11T14:23:15.000,HEAT/HOT WATER,10462,Open
319,2019-12-11T14:23:00.000,Traffic Signal Condition,11225,Open
320,2019-12-11T14:22:56.000,HEAT/HOT WATER,11377,Open
321,2019-12-11T14:22:29.000,Street Sign - Damaged,11369,In Progress
322,2019-12-11T14:22:12.000,Damaged Tree,11001,In Progress
323,2019-12-11T14:22:00.000,Street Light Condition,11101,Open
324,2019-12-11T14:22:00.000,Water System,11374,Open
325,2019-12-11T14:22:00.000,Traffic Signal Condition,11225,Open
326,2019-12-11T14:22:00.000,Noise,10469,Open
327,2019-12-11T14:21:57.000,General Construction/Plumbing,11249,Open
328,2019-12-11T14:21:54.000,Street Condition,11218,Open
329,2019-12-11T14:21:03.000,Street Condition,11221,In Progress
330,2019-12-11T14:21:01.000,Taxi Complaint,10004,In Progress
331,2019-12-11T14:21:00.000,Traffic Signal Condition,11249,Open
332,2019-12-11T14:20:36.000,Animal-Abuse,10022,In Progress
333,2019-12-11T14:20:18.000,FLOORING/STAIRS,10032,Open
334,2019-12-11T14:20:13.000,Non-Residential Heat,11218,In Progress
335,2019-12-11T14:20:01.000,Unleashed Dog,10025,In Progress
336,2019-12-11T14:19:50.000,HEAT/HOT WATER,11385,Open
337,2019-12-11T14:19:47.000,UNSANITARY CONDITION,10040,Open
338,2019-12-11T14:19:46.000,Broken Parking Meter,10461,In Progress
339,2019-12-11T14:19:40.000,Sidewalk Condition,11413,In Progress
340,2019-12-11T14:19:31.000,UNSANITARY CONDITION,11417,Open
341,2019-12-11T14:19:30.000,Sidewalk Condition,10312,In Progress
342,2019-12-11T14:19:00.000,Air Quality,11101,Open
343,2019-12-11T14:18:54.000,Elevator,11209,Open
344,2019-12-11T14:18:54.000,General Construction/Plumbing,10471,Closed
345,2019-12-11T14:18:53.000,General Construction/Plumbing,11432,Open
346,2019-12-11T14:18:42.000,Illegal Parking,11417,Closed
347,2019-12-11T14:18:34.000,Indoor Air Quality,11230,Closed
348,2019-12-11T14:18:31.000,Abandoned Vehicle,11416,In Progress
349,2019-12-11T14:18:02.000,Consumer Complaint,11379,In Progress
350,2019-12-11T14:17:52.000,Blocked Driveway,10461,In Progress
351,2019-12-11T14:17:47.000,Consumer Complaint,11436,In Progress
352,2019-12-11T14:17:27.000,PAINT/PLASTER,11216,Open
353,2019-12-11T14:17:25.000,ELECTRIC,11223,Open
354,2019-12-11T14:17:03.000,Abandoned Vehicle,11432,In Progress
355,2019-12-11T14:17:00.000,Street Light Condition,11432,Open
356,2019-12-11T14:16:58.000,For Hire Vehicle Complaint,11201,In Progress
357,2019-12-11T14:16:35.000,HEAT/HOT WATER,11419,Closed
358,2019-12-11T14:16:27.000,Street Condition,11426,In Progress
359,2019-12-11T14:16:15.000,Blocked Driveway,11230,In Progress
360,2019-12-11T14:16:00.000,Sewer,11225,Open
361,2019-12-11T14:16:00.000,Water System,11213,Open
362,2019-12-11T14:16:00.000,Water System,11203,Open
363,2019-12-11T14:15:27.000,Abandoned Vehicle,11416,In Progress
364,2019-12-11T14:15:24.000,Building/Use,10456,Open
365,2019-12-11T14:14:52.000,Noise - Vehicle,10301,In Progress
366,2019-12-11T14:14:47.000,Rodent,11220,In Progress
367,2019-12-11T14:14:40.000,Illegal Parking,11213,Closed
368,2019-12-11T14:14:33.000,Illegal Parking,11428,In Progress
369,2019-12-11T14:14:00.000,Traffic Signal Condition,11385,Open
370,2019-12-11T14:14:00.000,Traffic Signal Condition,11416,Open
371,2019-12-11T14:13:42.000,Street Condition,11375,In Progress
372,2019-12-11T14:13:36.000,HEAT/HOT WATER,10027,Open
373,2019-12-11T14:13:36.000,HEAT/HOT WATER,11216,Open
374,2019-12-11T14:13:34.000,HEAT/HOT WATER,11218,Open
375,2019-12-11T14:13:34.000,HEAT/HOT WATER,10463,Open
376,2019-12-11T14:13:29.000,Homeless Encampment,10036,Closed
377,2019-12-11T14:12:53.000,General Construction/Plumbing,11233,Open
378,2019-12-11T14:12:16.000,Abandoned Vehicle,11416,In Progress
379,2019-12-11T14:12:14.000,Street Condition,10475,Open
380,2019-12-11T14:11:09.000,Street Condition,10475,Open
381,2019-12-11T14:10:51.000,Blocked Driveway,10454,In Progress
382,2019-12-11T14:10:40.000,Mold,10013,Closed
383,2019-12-11T14:10:40.000,HEAT/HOT WATER,11377,Open
384,2019-12-11T14:10:35.000,HEAT/HOT WATER,11218,Open
385,2019-12-11T14:10:34.000,UNSANITARY CONDITION,11417,Open
386,2019-12-11T14:10:33.000,WATER LEAK,10457,Open
387,2019-12-11T14:10:30.000,Damaged Tree,11364,In Progress
388,2019-12-11T14:10:24.000,Street Condition,10475,Open
389,2019-12-11T14:10:00.000,Traffic Signal Condition,11694,Open
390,2019-12-11T14:10:00.000,Lead,10310,Open
391,2019-12-11T14:10:00.000,Traffic Signal Condition,11694,Open
392,2019-12-11T14:09:58.000,HEAT/HOT WATER,10017,Open
393,2019-12-11T14:09:53.000,Elevator,10453,Open
394,2019-12-11T14:09:52.000,Noise - Street/Sidewalk,11211,In Progress
395,2019-12-11T14:09:48.000,Street Condition,10475,Open
396,2019-12-11T14:09:45.000,UNSANITARY CONDITION,10458,Open
397,2019-12-11T14:09:44.000,Taxi Complaint,11211,In Progress
398,2019-12-11T14:09:44.000,HEAT/HOT WATER,11216,Open
399,2019-12-11T14:09:28.000,PAINT/PLASTER,11217,Open
400,2019-12-11T14:09:25.000,HEAT/HOT WATER,10473,Open
401,2019-12-11T14:09:18.000,Street Condition,10475,Open
402,2019-12-11T14:08:27.000,Illegal Parking,10005,In Progress
403,2019-12-11T14:08:24.000,Street Condition,10475,Open
404,2019-12-11T14:08:10.000,Illegal Parking,10469,In Progress
405,2019-12-11T14:08:00.000,Traffic Signal Condition,11692,Open
406,2019-12-11T14:07:56.000,Blocked Driveway,11373,In Progress
407,2019-12-11T14:07:56.000,Taxi Complaint,11201,In Progress
